Result Type,Title,Price (INR),Rating,Image URL
Organic,"Lenovo IdeaPad Slim 3, AMD Ryzen 7 8840HS, 24GB RAM, 1TB SSD, WUXGA IPS, AI PC, 15.3""/38.8cm, Backlit Keyboard, Windows 11, Office Home 2024, Grey, 1.6Kg, 1Yr ADP Free, 83KA004TIN, AI Powered Laptop",81990,4.2 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"DELL PRO 15 (2025) AMD Ryzen 5 7520U Quad Core - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Home) Thin and Light Business Laptop/Backlit/15.6"" FHD Display/Black/1.5 kg/MSO 2021",44790,3.7 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",54799,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",49950,4.1 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"HP Smartchoice Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365(1yr)*Office24, Glacier Silver, 1.59kg, fb0001QU,Next-Gen AI Laptop",67940,4.2 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"Dell 15 Smart Choice (Previously Inspiron), 13th Gen Intel Core i5-1334U (16GB RAM, 1TB SSD) FHD, 15.6""/39.62cm, Windows 11 MSO'24, Silver, 1.62kg, 12 Month McAfee, Backlit KB, Thin & Light Laptop",70490,3.8 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"Dell 15, Smart Choice AMD Ryzen 7-7730U, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.6cm, Windows 11, Microsoft Office Home 2024, Silver, 1.63Kg, 120Hz 250nits, AMD Radeon Graphics, Thin & Light Laptop",58490,3.5 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Ad,"HP Smartchoice Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365(1yr)*Office24, Glacier Silver, 1.59kg, fb0001QU,Next-Gen AI Laptop",67940,4.2 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Ad,"Lenovo IdeaPad Slim 5, AMD Ryzen 5 7535HS, 16GB RAM, 512GB SSD, WUXGA IPS, 13.3""/33.7cm, Windows 11, Microsoft 365 Basic + Office 2024, Grey, 1.6Kg, Backlit KB, 1Yr ADP Free, 83J2004HIN, Laptop",72990,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Ad,"ASUS Vivobook S14,Smartchoice,AMD Ryzen AI 7 350,16GB RAM,1TB SSD,OLED,14"",Windows 11, Office24,M365 Basic (1Yr)*, Matte Gray,1.4Kg, M3407KA-SF049WS,50 Tops,Metallic Design,Next-Gen AI Laptop,Copilot+",75990,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
